,Node,Target,Weight,Latitude,Longitude
0,0,1,0.049683,-33.4,18.48
1,1,6,0.051527187,-31.48,19.76
2,2,1,0.04934392,-32.83,17.86
3,3,1,0.049111653,-34.42,18.44
4,4,1,0.049288433,-33.55,18.4
5,5,1,0.048994344,-34.3,18.32
6,6,6,0.050854605,-32.96,19.43
7,7,1,0.049580693,-34.43,19.22
8,8,1,0.048000924,-33.97,18.92
9,9,6,0.047858085,-34.15,18.48
10,10,6,0.050502796,-33.5,21.27
11,11,1,0.048812196,-33.88,18.59
12,12,1,0.049572013,-33.5,18.97
13,13,1,0.050165787,-33.01,18.98
14,14,1,0.048998978,-33.74,18.37
15,15,1,0.049709443,-33.79,19.9
16,16,1,0.048746664,-34.03,18.26
17,17,1,0.049990837,-34.8002,20.0569
18,18,1,0.04992808,-34.15,19.9
19,19,1,0.049123984,-33.65,19.01
20,20,1,0.049967796,-33.66,19.42
