,Node,Target,Weight,Latitude,Longitude
0,0,20,2.4425013065338135,-33.4,18.48
1,1,6,1.8375402688980103,-31.48,19.76
2,2,1,0.9992573261260986,-32.83,17.86
3,3,9,1.1415461301803589,-34.42,18.44
4,4,20,1.7434427738189697,-33.55,18.4
5,5,11,0.546450674533844,-34.3,18.32
6,6,1,2.692857265472412,-32.96,19.43
7,7,18,1.1406805515289307,-34.43,19.22
8,8,15,1.701306700706482,-33.97,18.92
9,9,9,1.663222312927246,-34.15,18.48
10,10,17,1.3181973695755005,-33.5,21.27
11,11,11,1.32485830783844,-33.88,18.59
12,12,0,1.7937239408493042,-33.5,18.97
13,13,0,1.5729249715805054,-33.01,18.98
14,14,0,1.1613069772720337,-33.74,18.37
15,15,1,1.6515858173370361,-33.79,19.9
16,16,20,1.3290940523147583,-34.03,18.26
17,17,7,1.566827654838562,-34.8002,20.0569
18,18,17,1.802590250968933,-34.15,19.9
19,19,0,2.2194151878356934,-33.65,19.01
20,20,1,2.2520899772644043,-33.66,19.42
